team,player,num,league,salary,AVR,ATbase,ATbats,HIT,HR,RBI,Steal,Walk,K,position,hand,age,height,weight
DeNA,梶谷　隆幸,17,セリーグ,46,0.263,609,525,138,16,72,39,70,135,outfield,left,27,180,83
DeNA,石川　雄洋,33,セリーグ,60,0.248,539,483,120,7,36,9,32,98,infield,left,29,183,78
DeNA,バルディリス,41,セリーグ,150,0.255,510,451,115,17,52,0,43,66,infield,right,32,185,90
DeNA,筒香　嘉智,55,セリーグ,46,0.3,461,410,123,22,77,2,47,100,outfield,left,24,185,97
DeNA,山崎　憲晴,70,セリーグ,28,0.239,374,309,74,2,20,2,19,64,infield,right,28,176,79
DeNA,黒羽根　利規,71,セリーグ,26,0.264,374,326,86,2,24,1,24,78,catcher,right,28,178,86
DeNA,ブランコ,78,セリーグ,250,0.283,333,311,88,17,60,0,18,91,infield,right,35,188,102
DeNA,白崎　浩之,105,セリーグ,18.5,0.234,240,209,49,1,11,4,16,50,infield,right,25,183,86
DeNA,荒波　翔,113,セリーグ,40,0.271,206,188,51,3,18,9,13,28,outfield,left,29,179,78
DeNA,金城　龍彦,125,セリーグ,40,0.2,175,160,32,0,11,0,13,21,outfield,both,39,177,82
DeNA,桑原　将志,128,セリーグ,11,0.257,169,144,37,1,13,4,15,32,outfield,right,22,174,76
DeNA,多村　仁志,130,セリーグ,46,0.272,166,147,40,4,23,0,15,23,outfield,right,38,180,80
DeNA,下園　辰哉,153,セリーグ,23,0.277,117,101,28,1,8,0,14,18,outfield,left,31,179,81
DeNA,柳田　殖生,162,セリーグ,10.5,0.273,101,88,24,4,10,0,2,20,infield,right,33,180,82
DeNA,井手　正太郎,178,セリーグ,11.5,0.205,77,73,15,3,13,0,3,20,outfield,right,32,179,85
DeNA,高城　俊人,179,セリーグ,10,0.145,76,69,10,0,4,0,5,28,catcher,right,22,176,86
DeNA,松本　啓二朗,195,セリーグ,13.5,0.259,58,54,14,0,5,1,1,10,outfield,left,29,180,80
ヤクルト,山田　哲人,1,セリーグ,80,0.324,685,596,193,29,89,15,74,95,infield,right,23,180,76
ヤクルト,川端　慎吾,10,セリーグ,85,0.305,637,580,177,10,69,2,43,62,infield,left,28,185,86
ヤクルト,雄平,21,セリーグ,60,0.316,597,547,173,23,90,10,48,103,outfield,left,31,174,83
ヤクルト,畠山　和洋,53,セリーグ,90,0.31,464,422,131,17,79,2,36,54,infield,right,33,180,96
ヤクルト,バレンティン,57,セリーグ,300,0.301,446,366,110,31,69,2,75,95,outfield,right,31,185,100
ヤクルト,中村　悠平,73,セリーグ,40,0.298,365,325,97,5,41,0,26,51,catcher,right,25,176,83
